#           k/h    P           
   0.100000E-03   0.425062E+03
   0.102020E-03   0.433368E+03
   0.104081E-03   0.441836E+03
   0.106184E-03   0.450469E+03
   0.108329E-03   0.459271E+03
   0.110517E-03   0.468245E+03
   0.112750E-03   0.477393E+03
   0.115027E-03   0.486720E+03
   0.117351E-03   0.496230E+03
   0.119722E-03   0.505924E+03
   0.122140E-03   0.515808E+03
   0.124608E-03   0.525885E+03
   0.127125E-03   0.536158E+03
   0.129693E-03   0.546632E+03
   0.132313E-03   0.557309E+03
   0.134986E-03   0.568195E+03
   0.137713E-03   0.579293E+03
   0.140495E-03   0.590608E+03
   0.143333E-03   0.602143E+03
   0.146228E-03   0.613903E+03
   0.149182E-03   0.625892E+03
   0.152196E-03   0.638114E+03
   0.155271E-03   0.650575E+03
   0.158407E-03   0.663279E+03
   0.161607E-03   0.676230E+03
   0.164872E-03   0.689433E+03
   0.168203E-03   0.702893E+03
   0.171601E-03   0.716615E+03
   0.175067E-03   0.730604E+03
   0.178604E-03   0.744865E+03
   0.182212E-03   0.759404E+03
   0.185893E-03   0.774226E+03
   0.189648E-03   0.789336E+03
   0.193479E-03   0.804740E+03
   0.197388E-03   0.820443E+03
   0.201375E-03   0.836451E+03
   0.205443E-03   0.852771E+03
   0.209594E-03   0.869407E+03
   0.213828E-03   0.886367E+03
   0.218147E-03   0.903656E+03
   0.222554E-03   0.921280E+03
   0.227050E-03   0.939247E+03
   0.231637E-03   0.957562E+03
   0.236316E-03   0.976232E+03
   0.241090E-03   0.995264E+03
   0.245960E-03   0.101467E+04
   0.250929E-03   0.103444E+04
   0.255998E-03   0.105460E+04
   0.261170E-03   0.107515E+04
   0.266446E-03   0.109610E+04
   0.271828E-03   0.111745E+04
   0.277319E-03   0.113922E+04
   0.282922E-03   0.116141E+04
   0.288637E-03   0.118402E+04
   0.294468E-03   0.120708E+04
   0.300417E-03   0.123057E+04
   0.306485E-03   0.125452E+04
   0.312677E-03   0.127894E+04
   0.318993E-03   0.130382E+04
   0.325437E-03   0.132918E+04
   0.332012E-03   0.135503E+04
   0.338719E-03   0.138138E+04
   0.345561E-03   0.140824E+04
   0.352542E-03   0.143561E+04
   0.359664E-03   0.146351E+04
   0.366930E-03   0.149194E+04
   0.374342E-03   0.152092E+04
   0.381904E-03   0.155045E+04
   0.389619E-03   0.158055E+04
   0.397490E-03   0.161123E+04
   0.405520E-03   0.164249E+04
   0.413712E-03   0.167435E+04
   0.422070E-03   0.170682E+04
   0.430596E-03   0.173990E+04
   0.439295E-03   0.177362E+04
   0.448169E-03   0.180798E+04
   0.457222E-03   0.184300E+04
   0.466459E-03   0.187868E+04
   0.475882E-03   0.191503E+04
   0.485496E-03   0.195208E+04
   0.495303E-03   0.198983E+04
   0.505309E-03   0.202829E+04
   0.515517E-03   0.206748E+04
   0.525931E-03   0.210741E+04
   0.536556E-03   0.214810E+04
   0.547395E-03   0.218955E+04
   0.558453E-03   0.223178E+04
   0.569734E-03   0.227480E+04
   0.581244E-03   0.231863E+04
   0.592986E-03   0.236329E+04
   0.604965E-03   0.240877E+04
   0.617186E-03   0.245511E+04
   0.629654E-03   0.250232E+04
   0.642374E-03   0.255040E+04
   0.655350E-03   0.259938E+04
   0.668589E-03   0.264926E+04
   0.682096E-03   0.270008E+04
   0.695875E-03   0.275183E+04
   0.709933E-03   0.280454E+04
   0.724274E-03   0.285822E+04
   0.738906E-03   0.291289E+04
   0.753832E-03   0.296856E+04
   0.769061E-03   0.302526E+04
   0.784597E-03   0.308299E+04
   0.800447E-03   0.314177E+04
   0.816617E-03   0.320163E+04
   0.833114E-03   0.326258E+04
   0.849944E-03   0.332463E+04
   0.867114E-03   0.338781E+04
   0.884631E-03   0.345212E+04
   0.902501E-03   0.351760E+04
   0.920733E-03   0.358425E+04
   0.939333E-03   0.365210E+04
   0.958309E-03   0.372115E+04
   0.977668E-03   0.379144E+04
   0.997418E-03   0.386298E+04
   0.101757E-02   0.393579E+04
   0.103812E-02   0.400988E+04
   0.105910E-02   0.408528E+04
   0.108049E-02   0.416200E+04
   0.110232E-02   0.424006E+04
   0.112459E-02   0.431948E+04
   0.114730E-02   0.440029E+04
   0.117048E-02   0.448249E+04
   0.119413E-02   0.456611E+04
   0.121825E-02   0.465116E+04
   0.124286E-02   0.473767E+04
   0.126797E-02   0.482566E+04
   0.129358E-02   0.491514E+04
   0.131971E-02   0.500613E+04
   0.134637E-02   0.509865E+04
   0.137357E-02   0.519272E+04
   0.140132E-02   0.528835E+04
   0.142963E-02   0.538557E+04
   0.145851E-02   0.548440E+04
   0.148797E-02   0.558484E+04
   0.151803E-02   0.568693E+04
   0.154870E-02   0.579067E+04
