#    L    TT             EE             TE          
     2   0.101239E+04   0.296370E-01   0.254347E+01
     3   0.957035E+03   0.378506E-01   0.285312E+01
     4   0.905126E+03   0.330364E-01   0.268306E+01
     5   0.866471E+03   0.224619E-01   0.229397E+01
     6   0.839927E+03   0.128909E-01   0.185887E+01
     7   0.822857E+03   0.702571E-02   0.147149E+01
     8   0.812679E+03   0.436348E-02   0.117242E+01
     9   0.807901E+03   0.335856E-02   0.970111E+00
    10   0.806953E+03   0.286706E-02   0.855406E+00
    11   0.809098E+03   0.246728E-02   0.810111E+00
    12   0.813491E+03   0.216339E-02   0.813972E+00
    13   0.819850E+03   0.203255E-02   0.848718E+00
    14   0.827533E+03   0.208012E-02   0.900060E+00
    15   0.836511E+03   0.226288E-02   0.958888E+00
    16   0.846521E+03   0.254862E-02   0.102068E+01
    17   0.857365E+03   0.294208E-02   0.108250E+01
    18   0.868575E+03   0.345690E-02   0.114446E+01
    19   0.881284E+03   0.411384E-02   0.121143E+01
    20   0.894092E+03   0.491293E-02   0.127924E+01
    21   0.907563E+03   0.584455E-02   0.134983E+01
    22   0.921543E+03   0.691343E-02   0.142113E+01
    23   0.935609E+03   0.811895E-02   0.149249E+01
    24   0.950088E+03   0.946576E-02   0.156307E+01
    25   0.965158E+03   0.109541E-01   0.162552E+01
    26   0.980356E+03   0.125916E-01   0.168328E+01
    27   0.996025E+03   0.143954E-01   0.173674E+01
    28   0.101193E+04   0.163638E-01   0.178080E+01
    29   0.102807E+04   0.185086E-01   0.182076E+01
    30   0.104468E+04   0.208440E-01   0.184984E+01
    31   0.106112E+04   0.233692E-01   0.187662E+01
    32   0.107812E+04   0.261096E-01   0.189428E+01
    33   0.109515E+04   0.290416E-01   0.190366E+01
    34   0.111222E+04   0.322016E-01   0.190837E+01
    35   0.113004E+04   0.355784E-01   0.189874E+01
    36   0.114779E+04   0.391799E-01   0.188388E+01
    37   0.116581E+04   0.430284E-01   0.185751E+01
    38   0.118402E+04   0.471155E-01   0.182148E+01
    39   0.120238E+04   0.514436E-01   0.177581E+01
    40   0.122093E+04   0.560204E-01   0.171908E+01
    41   0.123967E+04   0.608535E-01   0.165034E+01
    42   0.125860E+04   0.659503E-01   0.157053E+01
    43   0.127772E+04   0.713180E-01   0.148066E+01
    44   0.129703E+04   0.769614E-01   0.138013E+01
    45   0.131659E+04   0.828827E-01   0.126803E+01
