#           k/h    P           
   0.100000E-03   0.422098E+03
   0.102020E-03   0.430346E+03
   0.104081E-03   0.438755E+03
   0.106184E-03   0.447328E+03
   0.108329E-03   0.456069E+03
   0.110517E-03   0.464980E+03
   0.112750E-03   0.474065E+03
   0.115027E-03   0.483328E+03
   0.117351E-03   0.492771E+03
   0.119722E-03   0.502398E+03
   0.122140E-03   0.512213E+03
   0.124608E-03   0.522219E+03
   0.127125E-03   0.532421E+03
   0.129693E-03   0.542822E+03
   0.132313E-03   0.553425E+03
   0.134986E-03   0.564236E+03
   0.137713E-03   0.575257E+03
   0.140495E-03   0.586492E+03
   0.143333E-03   0.597947E+03
   0.146228E-03   0.609625E+03
   0.149182E-03   0.621531E+03
   0.152196E-03   0.633669E+03
   0.155271E-03   0.646043E+03
   0.158407E-03   0.658658E+03
   0.161607E-03   0.671519E+03
   0.164872E-03   0.684630E+03
   0.168203E-03   0.697997E+03
   0.171601E-03   0.711624E+03
   0.175067E-03   0.725516E+03
   0.178604E-03   0.739679E+03
   0.182212E-03   0.754117E+03
   0.185893E-03   0.768836E+03
   0.189648E-03   0.783841E+03
   0.193479E-03   0.799138E+03
   0.197388E-03   0.814732E+03
   0.201375E-03   0.830630E+03
   0.205443E-03   0.846836E+03
   0.209594E-03   0.863357E+03
   0.213828E-03   0.880199E+03
   0.218147E-03   0.897369E+03
   0.222554E-03   0.914871E+03
   0.227050E-03   0.932713E+03
   0.231637E-03   0.950902E+03
   0.236316E-03   0.969443E+03
   0.241090E-03   0.988344E+03
   0.245960E-03   0.100761E+04
   0.250929E-03   0.102725E+04
   0.255998E-03   0.104727E+04
   0.261170E-03   0.106768E+04
   0.266446E-03   0.108848E+04
   0.271828E-03   0.110969E+04
   0.277319E-03   0.113131E+04
   0.282922E-03   0.115334E+04
   0.288637E-03   0.117580E+04
   0.294468E-03   0.119870E+04
   0.300417E-03   0.122203E+04
   0.306485E-03   0.124582E+04
   0.312677E-03   0.127006E+04
   0.318993E-03   0.129478E+04
   0.325437E-03   0.131996E+04
   0.332012E-03   0.134564E+04
   0.338719E-03   0.137181E+04
   0.345561E-03   0.139848E+04
   0.352542E-03   0.142566E+04
   0.359664E-03   0.145337E+04
   0.366930E-03   0.148161E+04
   0.374342E-03   0.151039E+04
   0.381904E-03   0.153972E+04
   0.389619E-03   0.156961E+04
   0.397490E-03   0.160008E+04
   0.405520E-03   0.163113E+04
   0.413712E-03   0.166277E+04
   0.422070E-03   0.169502E+04
   0.430596E-03   0.172788E+04
   0.439295E-03   0.176137E+04
   0.448169E-03   0.179550E+04
   0.457222E-03   0.183028E+04
   0.466459E-03   0.186572E+04
   0.475882E-03   0.190183E+04
   0.485496E-03   0.193862E+04
   0.495303E-03   0.197612E+04
   0.505309E-03   0.201432E+04
   0.515517E-03   0.205325E+04
   0.525931E-03   0.209292E+04
   0.536556E-03   0.213333E+04
   0.547395E-03   0.217450E+04
   0.558453E-03   0.221645E+04
   0.569734E-03   0.225919E+04
   0.581244E-03   0.230273E+04
   0.592986E-03   0.234708E+04
   0.604965E-03   0.239227E+04
   0.617186E-03   0.243830E+04
   0.629654E-03   0.248519E+04
