#    L    TT             EE             TE             PP             TP          
     2   0.101054E+04   0.304922E-01   0.256766E+01   0.102333E+07   0.280463E+05
     3   0.955786E+03   0.390965E-01   0.288251E+01   0.157376E+07   0.333923E+05
     4   0.904292E+03   0.339031E-01   0.270722E+01   0.206345E+07   0.358726E+05
     5   0.865973E+03   0.226354E-01   0.230726E+01   0.249599E+07   0.368211E+05
     6   0.839747E+03   0.126617E-01   0.185959E+01   0.287771E+07   0.369142E+05
     7   0.823002E+03   0.683920E-02   0.146092E+01   0.321614E+07   0.365272E+05
     8   0.813146E+03   0.440731E-02   0.115398E+01   0.351744E+07   0.358748E+05
     9   0.808680E+03   0.353341E-02   0.948143E+00   0.378695E+07   0.350865E+05
    10   0.808017E+03   0.300956E-02   0.833947E+00   0.402827E+07   0.342320E+05
    11   0.810416E+03   0.252772E-02   0.791906E+00   0.424587E+07   0.333601E+05
    12   0.815021E+03   0.220118E-02   0.800266E+00   0.444071E+07   0.324779E+05
    13   0.821549E+03   0.211024E-02   0.839303E+00   0.461746E+07   0.316041E+05
    14   0.829356E+03   0.219659E-02   0.893784E+00   0.477623E+07   0.307317E+05
    15   0.838426E+03   0.237416E-02   0.954084E+00   0.492042E+07   0.298681E+05
    16   0.848498E+03   0.262559E-02   0.101575E+01   0.505056E+07   0.290174E+05
    17   0.859376E+03   0.298905E-02   0.107651E+01   0.516808E+07   0.281857E+05
    18   0.870598E+03   0.350391E-02   0.113729E+01   0.527465E+07   0.273799E+05
    19   0.883297E+03   0.417974E-02   0.120381E+01   0.537094E+07   0.266050E+05
    20   0.896074E+03   0.499971E-02   0.127260E+01   0.545746E+07   0.258646E+05
    21   0.909494E+03   0.595149E-02   0.134561E+01   0.553530E+07   0.251579E+05
    22   0.923402E+03   0.704034E-02   0.142047E+01   0.560552E+07   0.244825E+05
    23   0.937378E+03   0.826532E-02   0.149576E+01   0.566856E+07   0.238350E+05
    24   0.951752E+03   0.962937E-02   0.156977E+01   0.572481E+07   0.232118E+05
    25   0.966701E+03   0.111266E-01   0.163453E+01   0.577486E+07   0.226097E+05
    26   0.981763E+03   0.127602E-01   0.169310E+01   0.581933E+07   0.220265E+05
    27   0.997283E+03   0.145546E-01   0.174602E+01   0.585857E+07   0.214623E+05
    28   0.101303E+04   0.165171E-01   0.178856E+01   0.589288E+07   0.209180E+05
    29   0.102899E+04   0.186633E-01   0.182676E+01   0.592264E+07   0.203941E+05
    30   0.104542E+04   0.210084E-01   0.185457E+01   0.594824E+07   0.198912E+05
    31   0.106166E+04   0.235502E-01   0.188101E+01   0.596997E+07   0.194091E+05
    32   0.107845E+04   0.263116E-01   0.189955E+01   0.598806E+07   0.189476E+05
    33   0.109525E+04   0.292675E-01   0.191074E+01   0.600280E+07   0.185050E+05
    34   0.111208E+04   0.324530E-01   0.191780E+01   0.601443E+07   0.180794E+05
    35   0.112965E+04   0.358540E-01   0.191049E+01   0.602313E+07   0.176685E+05
    36   0.114713E+04   0.394760E-01   0.189740E+01   0.602907E+07   0.172702E+05
    37   0.116488E+04   0.433421E-01   0.187189E+01   0.603247E+07   0.168841E+05
    38   0.118281E+04   0.474457E-01   0.183561E+01   0.603350E+07   0.165102E+05
    39   0.120088E+04   0.517915E-01   0.178906E+01   0.603233E+07   0.161487E+05
    40   0.121913E+04   0.563895E-01   0.173141E+01   0.602909E+07   0.157998E+05
    41   0.123755E+04   0.612493E-01   0.166221E+01   0.602393E+07   0.154638E+05
    42   0.125615E+04   0.663777E-01   0.158243E+01   0.601695E+07   0.151399E+05
    43   0.127492E+04   0.717805E-01   0.149299E+01   0.600828E+07   0.148272E+05
    44   0.129388E+04   0.774615E-01   0.139319E+01   0.599804E+07   0.145251E+05
    45   0.131307E+04   0.834214E-01   0.128206E+01   0.598632E+07   0.142326E+05
    46   0.133243E+04   0.896595E-01   0.115905E+01   0.597325E+07   0.139491E+05
    47   0.135196E+04   0.961796E-01   0.102363E+01   0.595890E+07   0.136742E+05
    48   0.137163E+04   0.102980E+00   0.875239E+00   0.594335E+07   0.134077E+05
    49   0.139145E+04   0.110057E+00   0.713394E+00   0.592667E+07   0.131494E+05
    50   0.141148E+04   0.117420E+00   0.537746E+00   0.590895E+07   0.128990E+05
    51   0.143180E+04   0.125078E+00   0.348249E+00   0.589026E+07   0.126564E+05
    52   0.145233E+04   0.133032E+00   0.145870E+00   0.587066E+07   0.124213E+05
    53   0.147300E+04   0.141281E+00  -0.683850E-01   0.585021E+07   0.121932E+05
    54   0.149378E+04   0.149824E+00  -0.294368E+00   0.582897E+07   0.119720E+05
    55   0.151464E+04   0.158660E+00  -0.532300E+00   0.580701E+07   0.117573E+05
    56   0.153569E+04   0.167786E+00  -0.783068E+00   0.578439E+07   0.115488E+05
    57   0.155703E+04   0.177198E+00  -0.104765E+01   0.576114E+07   0.113463E+05
    58   0.157865E+04   0.186897E+00  -0.132637E+01   0.573732E+07   0.111495E+05
    59   0.160047E+04   0.196885E+00  -0.161926E+01   0.571295E+07   0.109582E+05
    60   0.162249E+04   0.207156E+00  -0.192594E+01   0.568808E+07   0.107721E+05
    61   0.164471E+04   0.217704E+00  -0.224599E+01   0.566274E+07   0.105912E+05
    62   0.166714E+04   0.228527E+00  -0.257922E+01   0.563698E+07   0.104151E+05
    63   0.168978E+04   0.239621E+00  -0.292548E+01   0.561082E+07   0.102439E+05
    64   0.171261E+04   0.250984E+00  -0.328464E+01   0.558431E+07   0.100772E+05
    65   0.173565E+04   0.262614E+00  -0.365660E+01   0.555748E+07   0.991512E+04
    66   0.175892E+04   0.274503E+00  -0.404143E+01   0.553035E+07   0.975739E+04
    67   0.178241E+04   0.286645E+00  -0.443886E+01   0.550296E+07   0.960384E+04
    68   0.180612E+04   0.299029E+00  -0.484855E+01   0.547532E+07   0.945429E+04
