# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509164e-26       4.634785000235e-09       2.157256292800e+22       1.448072504040e+04       1.448072504040e-10       1.448072504040e+18       2.676317464534e-09       2.751560535470e+44       2.514589126681e+33       1.246168062780e+34       3.592470360975e-08       1.902194177205e+44       4.653754712825e+44       4.653754712825e+44       1.551251570892e+44      -1.338578885209e+53       5.793645234957e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208831e-26       4.685716703534e-09       2.111374631022e+22       1.448072504040e+04       1.463721762668e-10       1.432590558149e+18       2.705240316113e-09       2.635761930281e+44       2.434794797259e+33       1.206623970323e+34       3.592470360975e-08       1.822140902098e+44       4.457902832525e+44       4.457902832525e+44       1.485967610793e+44      -1.268536174642e+53       5.918196789561e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675388e-26       4.736648406833e-09       2.066468804566e+22       1.448072504040e+04       1.479540142176e-10       1.417274136186e+18       2.734475734725e-09       2.524836674885e+44       2.357532545520e+33       1.168334712824e+34       3.592470360975e-08       1.745456645219e+44       4.270293320244e+44       4.270293320244e+44       1.423431106701e+44      -1.202158531079e+53       6.042748344151e-06       1.917553041712e+00 
       9.682674483178e+13       8.063126489079e-26       4.787580110133e-09       2.022518058852e+22       1.448072504040e+04       1.495529470246e-10       1.402121468466e+18       2.764027098842e-09       2.418579675807e+44       2.282722022176e+33       1.131260471167e+34       3.592470360975e-08       1.671999622440e+44       4.090579298382e+44       4.090579298382e+44       1.363526432749e+44      -1.139254175589e+53       6.167299898733e-06       1.878827146122e+00 
       9.579152979933e+13       8.238343922808e-26       4.838511813432e-09       1.979502080720e+22       1.448072504040e+04       1.511691594312e-10       1.387130804223e+18       2.793897823455e-09       2.316794470871e+44       2.210285427632e+33       1.095362689800e+34       3.592470360975e-08       1.601634016574e+44       3.918428487576e+44       3.918428487576e+44       1.306142829148e+44      -1.079641364297e+53       6.291851453317e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954576e-26       4.891262506135e-09       1.937400989043e+22       1.448072504040e+04       1.528028381773e-10       1.372300411412e+18       2.824091359696e-09       2.219292865953e+44       2.140147431067e+33       1.060604036635e+34       3.592470360975e-08       1.534229726263e+44       3.753522592343e+44       3.753522592343e+44       1.251174197405e+44      -1.023147863294e+53       6.416403007898e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325766e-26       4.944013198838e-09       1.896195325532e+22       1.448072504040e+04       1.544541720208e-10       1.357628576503e+18       2.854611196177e-09       2.125894587024e+44       2.072235092103e+33       1.026948364228e+34       3.592470360975e-08       1.469662125423e+44       3.595556712570e+44       3.595556712570e+44       1.198518904149e+44      -9.696104510072e+52       6.540954562478e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577810e-26       4.998582880944e-09       1.855866045752e+22       1.448072504040e+04       1.561233517597e-10       1.343113604288e+18       2.885460859270e-09       2.036426946831e+44       2.006477784945e+33       9.943606721852e+33       3.592470360975e-08       1.407811832824e+44       3.444238779775e+44       3.444238779775e+44       1.148079593218e+44      -9.188744466279e+52       6.665506117059e-06       1.738396194401e+00 
       9.176017181296e+13       8.978126095015e-26       5.051333573647e-09       1.816394510311e+22       1.448072504040e+04       1.578105702539e-10       1.328753817683e+18       2.916643913475e-09       1.950724525616e+44       1.942807124935e+33       9.628070707643e+33       3.592470360975e-08       1.348564491358e+44       3.299289017089e+44       3.299289017089e+44       1.099763005658e+44      -8.707932632003e+52       6.790057671638e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129479e-26       5.105903255753e-09       1.777762476253e+22       1.448072504040e+04       1.595160224473e-10       1.314547557534e+18       2.948163961689e-09       1.868628865258e+44       1.881156897435e+33       9.322547456313e+33       3.592470360975e-08       1.291810556602e+44       3.160439421972e+44       3.160439421972e+44       1.053479807287e+44      -8.252279841035e+52       6.914609226213e-06       1.675769387306e+00 
       8.980856820338e+13       9.372567846678e-26       5.162291927263e-09       1.739952088619e+22       1.448072504040e+04       1.612399053908e-10       1.300493182425e+18       2.980024645721e-09       1.789988176302e+44       1.821462988964e+33       9.026719237345e+33       3.592470360975e-08       1.237445094279e+44       3.027433270689e+44       3.027433270689e+44       1.009144423527e+44      -7.820469616920e+52       7.039160780784e-06       1.646118170433e+00 
       8.884838741853e+13       9.576240376623e-26       5.216861609370e-09       1.702945872202e+22       1.448072504040e+04       1.629824182647e-10       1.286589068490e+18       3.012229646801e-09       1.714657057307e+44       1.763663320530e+33       8.740278402625e+33       3.592470360975e-08       1.185367586236e+44       2.900024643648e+44       2.900024643648e+44       9.666748811811e+43      -7.411254369373e+52       7.163712335350e-06       1.617498012609e+00 
       8.789847232612e+13       9.784338856406e-26       5.273250280879e-09       1.666726723464e+22       1.448072504040e+04       1.647437624020e-10       1.272833609225e+18       3.044782685990e-09       1.642496226007e+44       1.707697783061e+33       8.462927066497e+33       3.592470360975e-08       1.135481744601e+44       2.777977970709e+44       2.777977970709e+44       9.259926568692e+43      -7.023451789739e+52       7.288263889911e-06       1.589856053482e+00 
       8.695871317136e+13       9.996959462977e-26       5.331457941793e-09       1.631277902637e+22       1.448072504040e+04       1.665241413113e-10       1.259225215301e+18       3.077687524505e-09       1.573372261788e+44       1.653508174902e+33       8.194376795977e+33       3.592470360975e-08       1.087695333746e+44       2.661067595632e+44       2.661067595632e+44       8.870225318445e+43      -6.655941435047e+52       7.412815444467e-06       1.563142985411e+00 
       8.602900137289e+13       1.021420046246e-25       5.387846613303e-09       1.596583025981e+22       1.448072504040e+04       1.683237607005e-10       1.245762314381e+18       3.110947964198e-09       1.507157359005e+44       1.601038141285e+33       7.934348310795e+33       3.592470360975e-08       1.041919999751e+44       2.549077358851e+44       2.549077358851e+44       8.496924529186e+43      -6.307661490822e+52       7.537366999018e-06       1.537312759906e+00 
       8.510922951025e+13       1.043616225894e-25       5.446054274216e-09       1.562626058215e+22       1.448072504040e+04       1.701428285008e-10       1.232443350938e+18       3.144567848032e-09       1.443729090674e+44       1.550233115722e+33       7.682571192958e+33       3.592470360975e-08       9.980711070464e+43       2.441800197813e+44       2.441800197813e+44       8.139333992402e+43      -5.977605703274e+52       7.661918553564e-06       1.512322322708e+00 
       8.419929131143e+13       1.066294744230e-25       5.506080924533e-09       1.529391305104e+22       1.448072504040e+04       1.719815548902e-10       1.219266786077e+18       3.178551060538e-09       1.382970182115e+44       1.501040263258e+33       7.438783605525e+33       3.592470360975e-08       9.560675819248e+43       2.339037764129e+44       2.339037764129e+44       7.796792546798e+43      -5.664820472025e+52       7.786470108102e-06       1.488131374309e+00 
       8.329908164066e+13       1.089466082149e-25       5.564288585447e-09       1.496863406208e+22       1.448072504039e+04       1.738401523184e-10       1.206231097356e+18       3.212901528127e-09       1.324768294116e+44       1.453408425527e+33       7.202732020310e+33       3.592470360975e-08       9.158317626413e+43       2.240600056844e+44       2.240600056844e+44       7.468666855858e+43      -5.368402094956e+52       7.911021662633e-06       1.464702153154e+00 
       8.240849648618e+13       1.113140949343e-25       5.624315235764e-09       1.465027327778e+22       1.448072504039e+04       1.757188355308e-10       1.193334778609e+18       3.247623219748e-09       1.269015815230e+44       1.407288067548e+33       6.974170954222e+33       3.592470360975e-08       8.772892558222e+43       2.146305071136e+44       2.146305071136e+44       7.154350236842e+43      -5.087494157220e+52       8.035573217163e-06       1.441999238857e+00 
