# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_ncdm[0]        12:(.)p_ncdm[0]          13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.092433247891e-26       4.349203663878e-09       2.299326381292e+22       1.423913801857e+04       1.423913801857e-10       1.423913801857e+18       2.510953964113e-09       2.751560535470e+44       2.490422367464e+33       6.331470950076e+43       2.110490316692e+43       1.731540006286e-08       1.902194177205e+44       5.286901807707e+44       5.286901807707e+44       1.762300602561e+44      -1.620841706894e+53       2.344295412097e-03       2.000000000000e+00 
       9.893085837570e+13       7.246556853496e-26       4.396497388370e-09       2.250423098129e+22       1.423913801857e+04       1.439301978408e-10       1.408690146708e+18       2.538089739217e-09       2.635761930281e+44       2.411394910978e+33       6.065012881878e+43       2.021670960626e+43       1.731540006286e-08       1.822140902098e+44       5.064404120591e+44       5.064404120591e+44       1.688134706856e+44      -1.536029263037e+53       2.394692981535e-03       1.957908951181e+00 
       9.787314738953e+13       7.404029658306e-26       4.443791112863e-09       2.202559915720e+22       1.423913801857e+04       1.454856454335e-10       1.393629253992e+18       2.565518768557e-09       2.524836674885e+44       2.334875197339e+33       5.809768622077e+43       1.936589540692e+43       1.731540006286e-08       1.745456645219e+44       4.851270182335e+44       4.851270182335e+44       1.617090060771e+44      -1.455654729805e+53       2.445090550967e-03       1.917553041712e+00 
       9.682674483178e+13       7.564924449059e-26       4.491084837355e-09       2.155714712655e+22       1.423913801857e+04       1.470579026829e-10       1.378729383549e+18       2.593244221855e-09       2.418579675807e+44       2.260783649468e+33       5.565266240889e+43       1.855088746963e+43       1.731540006286e-08       1.671999622440e+44       4.647105922358e+44       4.647105922358e+44       1.549035307445e+44      -1.379485888319e+53       2.495488120396e-03       1.878827146122e+00 
       9.579152979933e+13       7.729315600571e-26       4.540197551250e-09       2.109865838015e+22       1.423913801857e+04       1.486471512503e-10       1.363988813823e+18       2.621269303099e-09       2.316794470871e+44       2.189043215469e+33       5.331053669553e+43       1.777017889851e+43       1.731540006286e-08       1.601634016574e+44       4.451533854422e+44       4.451533854422e+44       1.483844618133e+44      -1.307302670823e+53       2.545885689826e-03       1.841634462243e+00 
       9.476738268169e+13       7.897279087396e-26       4.589310265146e-09       2.064992101362e+22       1.423913801857e+04       1.502535747600e-10       1.349405841664e+18       2.649597250183e-09       2.219292865953e+44       2.119579288499e+33       5.106697864488e+43       1.702232621496e+43       1.731540006286e-08       1.534229726263e+44       4.264192378686e+44       4.264192378686e+44       1.421397459555e+44      -1.238896524867e+53       2.596283259254e-03       1.805885704712e+00 
       9.375418514718e+13       8.068892538519e-26       4.638422979042e-09       2.021072762948e+22       1.423913801857e+04       1.518773588211e-10       1.334978782130e+18       2.678231336166e-09       2.125894587024e+44       2.052319629182e+33       4.891784006623e+43       1.630594668874e+43       1.731540006286e-08       1.469662125423e+44       4.084735113130e+44       4.084735113130e+44       1.361578371036e+44      -1.174069810751e+53       2.646680828683e-03       1.771498388654e+00 
       9.275182012925e+13       8.244235271749e-26       4.689354682341e-09       1.978087524130e+22       1.423913801857e+04       1.535186910481e-10       1.320705968294e+18       2.707174869533e-09       2.036426946831e+44       1.987194290481e+33       4.685914734423e+43       1.561971578141e+43       1.731540006286e-08       1.407811832824e+44       3.912830253118e+44       3.912830253118e+44       1.304276751033e+44      -1.112635230504e+53       2.697078398111e-03       1.738396194399e+00 
       9.176017181296e+13       8.423388333907e-26       4.740286385641e-09       1.936016517985e+22       1.423913801857e+04       1.551777610835e-10       1.306585751053e+18       2.736431194542e-09       1.950724525616e+44       1.924135544956e+33       4.488709409196e+43       1.496236469732e+43       1.731540006286e-08       1.348564491358e+44       3.748159957912e+44       3.748159957912e+44       1.249386652631e+44      -1.054415286743e+53       2.747475967539e-03       1.706508402066e+00 
       9.077912562158e+13       8.606434524198e-26       4.791218088940e-09       1.894840300134e+22       1.423913801857e+04       1.568547606190e-10       1.292616498931e+18       2.766003691475e-09       1.868628865258e+44       1.863077814332e+33       4.299803411315e+43       1.433267803772e+43       1.731540006286e-08       1.291810556602e+44       3.590419763010e+44       3.590419763010e+44       1.196806587664e+44      -9.992417698423e+52       2.797873536965e-03       1.675769387304e+00 
