# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001     6.97842e-05     6.97842e-05     6.97842e-05
     0.000106333     7.40564e-05     7.40564e-05     7.40564e-05
     0.000113066     7.85899e-05     7.85899e-05     7.85899e-05
     0.000120226     8.34006e-05     8.34006e-05     8.34006e-05
      0.00012784     8.85054e-05     8.85054e-05     8.85054e-05
     0.000135936     9.39223e-05     9.39223e-05     9.39223e-05
     0.000144544     9.96702e-05     9.96702e-05     9.96702e-05
     0.000153697     0.000105769     0.000105769     0.000105769
     0.000163431     0.000112241     0.000112241     0.000112241
      0.00017378     0.000119107     0.000119107     0.000119107
     0.000184785     0.000126393     0.000126393     0.000126393
     0.000196487     0.000134123     0.000134123     0.000134123
      0.00020893     0.000142325     0.000142325     0.000142325
      0.00022216     0.000151026     0.000151026     0.000151026
     0.000236229     0.000160257     0.000160257     0.000160257
     0.000251189      0.00017005      0.00017005      0.00017005
     0.000267096     0.000180439     0.000180439     0.000180439
      0.00028401     0.000191458     0.000191458     0.000191458
     0.000301995     0.000203146     0.000203146     0.000203146
     0.000321119     0.000215543     0.000215543     0.000215543
     0.000341455      0.00022869      0.00022869      0.00022869
     0.000363078     0.000242633     0.000242633     0.000242633
     0.000386071     0.000257417     0.000257417     0.000257417
     0.000410519     0.000273092     0.000273092     0.000273092
     0.000436516      0.00028971      0.00028971      0.00028971
     0.000464159     0.000307325     0.000307325     0.000307325
     0.000493552     0.000325994     0.000325994     0.000325994
     0.000524807     0.000345779     0.000345779     0.000345779
     0.000558042     0.000366741     0.000366741     0.000366741
     0.000593381     0.000388946     0.000388946     0.000388946
     0.000630957     0.000412465     0.000412465     0.000412465
     0.000670914     0.000437367     0.000437367     0.000437367
       0.0007134     0.000463729     0.000463729     0.000463729
     0.000758578     0.000491628     0.000491628     0.000491628
     0.000806616     0.000521144     0.000521144     0.000521144
     0.000857696     0.000552361     0.000552361     0.000552361
     0.000912011     0.000585364     0.000585364     0.000585364
     0.000969765     0.000620241     0.000620241     0.000620241
      0.00103118     0.000657081     0.000657081     0.000657081
      0.00109648     0.000695977     0.000695977     0.000695977
      0.00116591      0.00073702      0.00073702      0.00073702
      0.00123975     0.000780304     0.000780304     0.000780304
