# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
     2.12179e-06     1.22107e-05     1.21355e-05     1.22107e-05     1.21355e-05     1.22703e-05     1.21355e-05
     2.23849e-06     1.28603e-05     1.27811e-05     1.28603e-05     1.27811e-05     1.29231e-05     1.27811e-05
     2.36161e-06     1.35445e-05     1.34611e-05     1.35445e-05     1.34611e-05     1.36106e-05     1.34611e-05
     2.49151e-06     1.42651e-05     1.41773e-05     1.42651e-05     1.41773e-05     1.43347e-05     1.41773e-05
     2.62855e-06      1.5024e-05     1.49315e-05      1.5024e-05     1.49315e-05     1.50974e-05     1.49315e-05
     2.77312e-06     1.58233e-05     1.57259e-05     1.58233e-05     1.57259e-05     1.59006e-05     1.57259e-05
     2.92565e-06     1.66651e-05     1.65625e-05     1.66651e-05     1.65625e-05     1.67465e-05     1.65625e-05
     3.08656e-06     1.75517e-05     1.74437e-05     1.75517e-05     1.74437e-05     1.76374e-05     1.74437e-05
     3.25633e-06     1.84855e-05     1.83717e-05     1.84855e-05     1.83717e-05     1.85758e-05     1.83717e-05
     3.43544e-06      1.9469e-05     1.93491e-05      1.9469e-05     1.93491e-05      1.9564e-05     1.93491e-05
     3.62439e-06     2.05048e-05     2.03785e-05     2.05048e-05     2.03785e-05     2.06049e-05     2.03785e-05
     3.82374e-06     2.15956e-05     2.14627e-05     2.15956e-05     2.14627e-05     2.17011e-05     2.14627e-05
     4.03405e-06     2.27446e-05     2.26045e-05     2.27446e-05     2.26045e-05     2.28556e-05     2.26045e-05
     4.25594e-06     2.39546e-05     2.38071e-05     2.39546e-05     2.38071e-05     2.40716e-05     2.38071e-05
     4.49002e-06      2.5229e-05     2.50737e-05      2.5229e-05     2.50737e-05     2.53522e-05     2.50737e-05
     4.73698e-06     2.65713e-05     2.64077e-05     2.65713e-05     2.64077e-05      2.6701e-05     2.64077e-05
     4.99752e-06     2.79849e-05     2.78126e-05     2.79849e-05     2.78126e-05     2.81215e-05     2.78126e-05
      5.2724e-06     2.94737e-05     2.92923e-05     2.94737e-05     2.92923e-05     2.96176e-05     2.92923e-05
     5.56239e-06     3.10418e-05     3.08507e-05     3.10418e-05     3.08507e-05     3.11934e-05     3.08507e-05
     5.86833e-06     3.26932e-05      3.2492e-05     3.26932e-05      3.2492e-05     3.28529e-05      3.2492e-05
