# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
     2.56989e-06     1.05482e-05     1.05049e-05     1.05482e-05     1.05049e-05     1.05486e-05     1.05049e-05
     2.70951e-06     1.10462e-05     1.10009e-05     1.10462e-05     1.10009e-05     1.10466e-05     1.10009e-05
     2.85671e-06     1.15677e-05     1.15203e-05     1.15677e-05     1.15203e-05     1.15681e-05     1.15203e-05
     3.01191e-06     1.21138e-05     1.20642e-05     1.21138e-05     1.20642e-05     1.21143e-05     1.20642e-05
     3.17554e-06     1.26858e-05     1.26338e-05     1.26858e-05     1.26338e-05     1.26863e-05     1.26338e-05
     3.34807e-06     1.32847e-05     1.32302e-05     1.32847e-05     1.32302e-05     1.32852e-05     1.32302e-05
     3.52996e-06     1.39119e-05     1.38549e-05     1.39119e-05     1.38549e-05     1.39124e-05     1.38549e-05
     3.72174e-06     1.45687e-05      1.4509e-05     1.45687e-05      1.4509e-05     1.45693e-05      1.4509e-05
     3.92393e-06     1.52566e-05      1.5194e-05     1.52566e-05      1.5194e-05     1.52571e-05      1.5194e-05
     4.13711e-06     1.59769e-05     1.59114e-05     1.59769e-05     1.59114e-05     1.59775e-05     1.59114e-05
     4.36188e-06     1.67312e-05     1.66626e-05     1.67312e-05     1.66626e-05     1.67318e-05     1.66626e-05
     4.59885e-06     1.75211e-05     1.74493e-05     1.75211e-05     1.74493e-05     1.75218e-05     1.74493e-05
      4.8487e-06     1.83483e-05     1.82731e-05     1.83483e-05     1.82731e-05      1.8349e-05     1.82731e-05
     5.11212e-06     1.92146e-05     1.91358e-05     1.92146e-05     1.91358e-05     1.92153e-05     1.91358e-05
     5.38985e-06     2.01218e-05     2.00393e-05     2.01218e-05     2.00393e-05     2.01226e-05     2.00393e-05
     5.68268e-06     2.10718e-05     2.09854e-05     2.10718e-05     2.09854e-05     2.10726e-05     2.09854e-05
     5.99141e-06     2.20667e-05     2.19762e-05     2.20667e-05     2.19762e-05     2.20675e-05     2.19762e-05
     6.31691e-06     2.31085e-05     2.30137e-05     2.31085e-05     2.30137e-05     2.31094e-05     2.30137e-05
      6.6601e-06     2.41995e-05     2.41003e-05     2.41995e-05     2.41003e-05     2.42004e-05     2.41003e-05
     7.02193e-06     2.53421e-05     2.52381e-05     2.53421e-05     2.52381e-05      2.5343e-05     2.52381e-05
     7.40342e-06     2.65385e-05     2.64297e-05     2.65385e-05     2.64297e-05     2.65395e-05     2.64297e-05
     7.80563e-06     2.77915e-05     2.76775e-05     2.77915e-05     2.76775e-05     2.77925e-05     2.76775e-05
      8.2297e-06     2.91036e-05     2.89843e-05     2.91036e-05     2.89843e-05     2.91047e-05     2.89843e-05
     8.67681e-06     3.04777e-05     3.03527e-05     3.04777e-05     3.03527e-05     3.04788e-05     3.03527e-05
     9.14821e-06     3.19166e-05     3.17857e-05     3.19166e-05     3.17857e-05     3.19178e-05     3.17857e-05
     9.64521e-06     3.34235e-05     3.32864e-05     3.34235e-05     3.32864e-05     3.34247e-05     3.32864e-05
     1.01692e-05     3.50015e-05      3.4858e-05     3.50015e-05      3.4858e-05     3.50028e-05      3.4858e-05
     1.07217e-05      3.6654e-05     3.65037e-05      3.6654e-05     3.65037e-05     3.66554e-05     3.65037e-05
     1.13042e-05     3.83846e-05     3.82272e-05     3.83846e-05     3.82272e-05      3.8386e-05     3.82272e-05
     1.19183e-05     4.01968e-05      4.0032e-05     4.01968e-05      4.0032e-05     4.01983e-05      4.0032e-05
     1.25658e-05     4.20946e-05      4.1922e-05     4.20946e-05      4.1922e-05     4.20962e-05      4.1922e-05
     1.32485e-05      4.4082e-05     4.39013e-05      4.4082e-05     4.39013e-05     4.40837e-05     4.39013e-05
     1.39683e-05     4.61633e-05      4.5974e-05     4.61633e-05      4.5974e-05      4.6165e-05      4.5974e-05
     1.47272e-05     4.83428e-05     4.81445e-05     4.83428e-05     4.81445e-05     4.83446e-05     4.81445e-05
     1.55273e-05     5.06252e-05     5.04176e-05     5.06252e-05     5.04176e-05      5.0627e-05     5.04176e-05
     1.63708e-05     5.30153e-05     5.27979e-05     5.30153e-05     5.27979e-05     5.30173e-05     5.27979e-05
     1.72602e-05     5.55183e-05     5.52907e-05     5.55183e-05     5.52907e-05     5.55204e-05     5.52907e-05
     1.81979e-05     5.81395e-05     5.79011e-05     5.81395e-05     5.79011e-05     5.81417e-05     5.79011e-05
     1.91866e-05     6.08844e-05     6.06348e-05     6.08844e-05     6.06348e-05     6.08867e-05     6.06348e-05
      2.0229e-05      6.3759e-05     6.34975e-05      6.3759e-05     6.34975e-05     6.37613e-05     6.34975e-05
      2.1328e-05     6.67692e-05     6.64954e-05     6.67692e-05     6.64954e-05     6.67717e-05     6.64954e-05
     2.24867e-05     6.99216e-05     6.96349e-05     6.99216e-05     6.96349e-05     6.99242e-05     6.96349e-05
     2.37084e-05     7.32228e-05     7.29225e-05     7.32228e-05     7.29225e-05     7.32255e-05     7.29225e-05
     2.49964e-05     7.66798e-05     7.63654e-05     7.66798e-05     7.63654e-05     7.66827e-05     7.63654e-05
     2.63544e-05     8.03001e-05     7.99708e-05     8.03001e-05     7.99708e-05     8.03031e-05     7.99708e-05
     2.77862e-05     8.40913e-05     8.37465e-05     8.40913e-05     8.37465e-05     8.40944e-05     8.37465e-05
     2.92958e-05     8.80615e-05     8.77004e-05     8.80615e-05     8.77004e-05     8.80648e-05     8.77004e-05
     3.08874e-05     9.22191e-05      9.1841e-05     9.22191e-05      9.1841e-05     9.22226e-05      9.1841e-05
     3.25655e-05     9.65731e-05     9.61771e-05     9.65731e-05     9.61771e-05     9.65767e-05     9.61771e-05
     3.43347e-05     0.000101133     0.000100718     0.000101133     0.000100718     0.000101136     0.000100718
        3.62e-05     0.000105907     0.000105473     0.000105907     0.000105473     0.000105911     0.000105473
     3.81667e-05     0.000110908     0.000110453     0.000110908     0.000110453     0.000110912     0.000110453
     4.02403e-05     0.000116144     0.000115668     0.000116144     0.000115668     0.000116148     0.000115668
     4.24265e-05     0.000121627     0.000121129     0.000121627     0.000121129     0.000121632     0.000121129
     4.47314e-05      0.00012737     0.000126847      0.00012737     0.000126847     0.000127374     0.000126847
     4.71616e-05     0.000133383     0.000132836     0.000133383     0.000132836     0.000133388     0.000132836
     4.97238e-05     0.000139681     0.000139108     0.000139681     0.000139108     0.000139686     0.000139108
     5.24252e-05     0.000146275     0.000145675     0.000146275     0.000145673     0.000146281     0.000145675
     5.52734e-05     0.000153181     0.000152551     0.000153181      0.00015255     0.000153187     0.000152551
     5.82763e-05     0.000160413     0.000159753     0.000160413     0.000159753     0.000160419     0.000159753
     6.14424e-05     0.000167987     0.000167295     0.000167987     0.000167295     0.000167993     0.000167295
     6.47804e-05     0.000175918     0.000175194     0.000175918     0.000175194     0.000175925     0.000175194
     6.82998e-05     0.000184224     0.000183465     0.000184224     0.000183465     0.000184231     0.000183465
     7.20105e-05     0.000192922     0.000192127     0.000192922     0.000192127     0.000192929     0.000192127
     7.59227e-05      0.00020203     0.000201198      0.00020203     0.000201198     0.000202037     0.000201198
     8.00474e-05     0.000211568     0.000210697     0.000211564     0.000210697     0.000211572     0.000210697
     8.43963e-05     0.000221557     0.000220644     0.000221553     0.000220644     0.000221561     0.000220644
     8.89814e-05     0.000232017     0.000231062     0.000232013     0.000231062     0.000232022     0.000231062
     9.38156e-05     0.000242972     0.000241971     0.000242967     0.000241971     0.000242976     0.000241971
     9.89124e-05     0.000254438     0.000253395     0.000254438     0.000253395     0.000254448     0.000253395
     0.000104286     0.000266451     0.000265358     0.000266451     0.000265358     0.000266461     0.000265358
     0.000109952     0.000279031     0.000277887     0.000279031     0.000277881     0.000279041     0.000277886
     0.000115925     0.000292205     0.000291007     0.000292205     0.000291001     0.000292216     0.000291007
     0.000122223     0.000306001      0.00030474     0.000305995      0.00030474     0.000306012      0.00030474
     0.000128864     0.000320448     0.000319128     0.000320442     0.000319128     0.000320459     0.000319128
     0.000135865     0.000335577     0.000334195     0.000335571     0.000334195     0.000335583     0.000334195
     0.000143246     0.000351418     0.000349973     0.000351415     0.000349974     0.000351427     0.000349973
     0.000151028     0.000368005     0.000366496     0.000367999      0.00036649     0.000368019     0.000366496
     0.000159233      0.00038538     0.000383792     0.000385373     0.000383793     0.000385394     0.000383792
     0.000167884     0.000403575     0.000401913     0.000403568     0.000401912     0.000403582     0.000401913
     0.000177005     0.000422629     0.000420888     0.000422613      0.00042088     0.000422637     0.000420887
     0.000186621     0.000442574      0.00044076     0.000442566     0.000440751      0.00044259     0.000440759
      0.00019676     0.000463469      0.00046156     0.000463451     0.000461558     0.000463477      0.00046156
      0.00020745     0.000485351     0.000483352     0.000485333     0.000483343      0.00048536     0.000483351
      0.00021872     0.000508257     0.000506162     0.000508237     0.000506164      0.00050827     0.000506162
     0.000230603     0.000532251     0.000530061     0.000532222      0.00053005     0.000532262      0.00053006
     0.000243131     0.000557372     0.000555075     0.000557351     0.000555066     0.000557383     0.000555074
      0.00025634     0.000583681     0.000581283     0.000583656     0.000581272     0.000583699     0.000581282
     0.000270267     0.000611233     0.000608715       0.0006112     0.000608704     0.000611244     0.000608714
      0.00028495     0.000640079     0.000637444     0.000640044      0.00063743     0.000640093     0.000637443
     0.000300431     0.000670293     0.000667532     0.000670243     0.000667513     0.000670305      0.00066753
     0.000316753     0.000701931      0.00069904     0.000701867     0.000699016     0.000701944     0.000699037
     0.000333962     0.000735048      0.00073202     0.000734992     0.000732005     0.000735062     0.000732018
     0.000352105     0.000769743     0.000766562     0.000769674     0.000766546     0.000769757      0.00076656
     0.000371234     0.000806061      0.00080274     0.000805986      0.00080271     0.000806075     0.000802737
     0.000391403     0.000844103     0.000840611     0.000843997     0.000840583     0.000844106     0.000840609
     0.000412667     0.000883934      0.00088028     0.000883819     0.000880243      0.00088393     0.000880276
     0.000435087     0.000925637     0.000921806     0.000925499     0.000921754     0.000925636     0.000921801
     0.000458724     0.000969304     0.000965297     0.000969146     0.000965245      0.00096931     0.000965292
     0.000483646      0.00101502      0.00101083      0.00101483      0.00101077      0.00101502      0.00101082
     0.000509922      0.00106289      0.00105851       0.0010627      0.00105843      0.00106289      0.00105851
     0.000537625      0.00111304      0.00110843      0.00111278      0.00110833      0.00111302      0.00110842
     0.000566833      0.00116551      0.00116069      0.00116523      0.00116058      0.00116551      0.00116068
     0.000597628      0.00122048      0.00121543      0.00122014      0.00121529      0.00122046      0.00121541
     0.000630097      0.00127801      0.00127271      0.00127762      0.00127257      0.00127799       0.0012727
