#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.252150E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.125741E+00
   0.257243E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.128280E+00
   0.262440E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.130872E+00
   0.267741E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.133515E+00
   0.273149E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.136212E+00
   0.278666E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.138963E+00
   0.284295E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.141770E+00
   0.290038E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.144634E+00
   0.295896E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.147556E+00
   0.301873E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.150536E+00
   0.307971E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.153577E+00
   0.314191E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.156679E+00
   0.320538E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.159844E+00
   0.327012E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.163072E+00
   0.333618E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.166366E+00
   0.340357E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.169727E+00
   0.347232E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.173155E+00
   0.354245E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.176653E+00
   0.361401E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.180221E+00
   0.368701E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.183861E+00
