#           k/h    P           
   0.100000E-03   0.141282E-01
   0.102020E-03   0.144044E-01
   0.104081E-03   0.146859E-01
   0.106184E-03   0.149730E-01
   0.108329E-03   0.152657E-01
   0.110517E-03   0.155642E-01
   0.112750E-03   0.158684E-01
   0.115027E-03   0.161787E-01
   0.117351E-03   0.164949E-01
   0.119722E-03   0.168174E-01
   0.122140E-03   0.171461E-01
   0.124608E-03   0.174813E-01
   0.127125E-03   0.178230E-01
   0.129693E-03   0.181715E-01
   0.132313E-03   0.185267E-01
   0.134986E-03   0.188888E-01
   0.137713E-03   0.192581E-01
   0.140495E-03   0.196345E-01
   0.143333E-03   0.200183E-01
   0.146228E-03   0.204096E-01
   0.149182E-03   0.208086E-01
   0.152196E-03   0.212154E-01
   0.155271E-03   0.216301E-01
   0.158407E-03   0.220529E-01
   0.161607E-03   0.224839E-01
   0.164872E-03   0.229234E-01
   0.168203E-03   0.233715E-01
   0.171601E-03   0.238283E-01
   0.175067E-03   0.242941E-01
   0.178604E-03   0.247689E-01
   0.182212E-03   0.252531E-01
   0.185893E-03   0.257467E-01
   0.189648E-03   0.262499E-01
   0.193479E-03   0.267630E-01
   0.197388E-03   0.272861E-01
   0.201375E-03   0.278194E-01
   0.205443E-03   0.283631E-01
   0.209594E-03   0.289174E-01
   0.213828E-03   0.294826E-01
   0.218147E-03   0.300588E-01
   0.222554E-03   0.306463E-01
   0.227050E-03   0.312452E-01
   0.231637E-03   0.318558E-01
   0.236316E-03   0.324784E-01
   0.241090E-03   0.331131E-01
   0.245960E-03   0.337602E-01
   0.250929E-03   0.344199E-01
   0.255998E-03   0.350925E-01
   0.261170E-03   0.357783E-01
   0.266446E-03   0.364774E-01
   0.271828E-03   0.371902E-01
   0.277319E-03   0.379169E-01
   0.282922E-03   0.386578E-01
   0.288637E-03   0.394131E-01
   0.294468E-03   0.401832E-01
   0.300417E-03   0.409683E-01
   0.306485E-03   0.417687E-01
   0.312677E-03   0.425847E-01
   0.318993E-03   0.434167E-01
   0.325437E-03   0.442648E-01
   0.332012E-03   0.451296E-01
   0.338719E-03   0.460111E-01
   0.345561E-03   0.469099E-01
   0.352542E-03   0.478262E-01
   0.359664E-03   0.487604E-01
   0.366930E-03   0.497128E-01
   0.374342E-03   0.506837E-01
   0.381904E-03   0.516736E-01
   0.389619E-03   0.526827E-01
   0.397490E-03   0.537115E-01
   0.405520E-03   0.547604E-01
   0.413712E-03   0.558297E-01
   0.422070E-03   0.569198E-01
   0.430596E-03   0.580311E-01
