#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.207980E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.137309E+00
   0.212179E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.140082E+00
   0.216464E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.142910E+00
   0.220835E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.145796E+00
   0.225294E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.148740E+00
   0.229843E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.151743E+00
   0.234484E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.154808E+00
   0.239219E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.157934E+00
   0.244050E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.161123E+00
   0.248978E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.164376E+00
   0.254005E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.167695E+00
   0.259134E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.171081E+00
   0.264367E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.174536E+00
   0.269705E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.178060E+00
   0.275151E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.181656E+00
   0.280707E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.185324E+00
   0.286375E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.189066E+00
   0.292158E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.192884E+00
   0.298057E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.196779E+00
   0.304076E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.200752E+00
   0.310216E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.204806E+00
   0.316480E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.208942E+00
   0.322871E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.213161E+00
