#           k/h    P           
   0.100000E-03   0.102263E-01
   0.102020E-03   0.104062E-01
   0.104081E-03   0.105893E-01
   0.106184E-03   0.107756E-01
   0.108329E-03   0.109652E-01
   0.110517E-03   0.111581E-01
   0.112750E-03   0.113543E-01
   0.115027E-03   0.115541E-01
   0.117351E-03   0.117573E-01
   0.119722E-03   0.119642E-01
   0.122140E-03   0.121746E-01
   0.124608E-03   0.123888E-01
   0.127125E-03   0.126068E-01
   0.129693E-03   0.128285E-01
   0.132313E-03   0.130542E-01
   0.134986E-03   0.132838E-01
   0.137713E-03   0.135175E-01
   0.140495E-03   0.137553E-01
   0.143333E-03   0.139973E-01
   0.146228E-03   0.142435E-01
   0.149182E-03   0.144941E-01
   0.152196E-03   0.147490E-01
   0.155271E-03   0.150085E-01
   0.158407E-03   0.152725E-01
   0.161607E-03   0.155412E-01
   0.164872E-03   0.158145E-01
   0.168203E-03   0.160927E-01
   0.171601E-03   0.163758E-01
   0.175067E-03   0.166639E-01
   0.178604E-03   0.169570E-01
   0.182212E-03   0.172553E-01
   0.185893E-03   0.175588E-01
   0.189648E-03   0.178676E-01
   0.193479E-03   0.181819E-01
   0.197388E-03   0.185017E-01
   0.201375E-03   0.188272E-01
   0.205443E-03   0.191583E-01
   0.209594E-03   0.194953E-01
   0.213828E-03   0.198382E-01
   0.218147E-03   0.201871E-01
   0.222554E-03   0.205422E-01
   0.227050E-03   0.209035E-01
   0.231637E-03   0.212712E-01
   0.236316E-03   0.216453E-01
   0.241090E-03   0.220260E-01
   0.245960E-03   0.224134E-01
   0.250929E-03   0.228076E-01
   0.255998E-03   0.232087E-01
   0.261170E-03   0.236169E-01
   0.266446E-03   0.240322E-01
   0.271828E-03   0.244549E-01
   0.277319E-03   0.248850E-01
   0.282922E-03   0.253226E-01
   0.288637E-03   0.257679E-01
   0.294468E-03   0.262211E-01
   0.300417E-03   0.266822E-01
   0.306485E-03   0.271514E-01
   0.312677E-03   0.276288E-01
   0.318993E-03   0.281146E-01
   0.325437E-03   0.286090E-01
   0.332012E-03   0.291121E-01
   0.338719E-03   0.296239E-01
   0.345561E-03   0.301448E-01
   0.352542E-03   0.306748E-01
   0.359664E-03   0.312142E-01
   0.366930E-03   0.317630E-01
   0.374342E-03   0.323214E-01
   0.381904E-03   0.328896E-01
   0.389619E-03   0.334678E-01
   0.397490E-03   0.340562E-01
   0.405520E-03   0.346548E-01
   0.413712E-03   0.352640E-01
   0.422070E-03   0.358839E-01
   0.430596E-03   0.365146E-01
   0.439295E-03   0.371564E-01
   0.448169E-03   0.378095E-01
   0.457222E-03   0.384740E-01
   0.466459E-03   0.391501E-01
   0.475882E-03   0.398382E-01
   0.485496E-03   0.405382E-01
   0.495303E-03   0.412506E-01
   0.505309E-03   0.419754E-01
   0.515517E-03   0.427129E-01
   0.525931E-03   0.434634E-01
   0.536556E-03   0.442270E-01
   0.547395E-03   0.450039E-01
   0.558453E-03   0.457945E-01
   0.569734E-03   0.465989E-01
   0.581244E-03   0.474173E-01
   0.592986E-03   0.482501E-01
   0.604965E-03   0.490975E-01
   0.617186E-03   0.499597E-01
   0.629654E-03   0.508369E-01
   0.642374E-03   0.517295E-01
   0.655350E-03   0.526377E-01
   0.668589E-03   0.535618E-01
   0.682096E-03   0.545020E-01
   0.695875E-03   0.554586E-01
   0.709933E-03   0.564319E-01
   0.724274E-03   0.574222E-01
   0.738906E-03   0.584297E-01
   0.753832E-03   0.594549E-01
   0.769061E-03   0.604979E-01
   0.784597E-03   0.615591E-01
   0.800447E-03   0.626387E-01
   0.816617E-03   0.637372E-01
   0.833114E-03   0.648548E-01
   0.849944E-03   0.659918E-01
   0.867114E-03   0.671486E-01
   0.884631E-03   0.683254E-01
   0.902501E-03   0.695228E-01
   0.920733E-03   0.707409E-01
   0.939333E-03   0.719801E-01
   0.958309E-03   0.732409E-01
   0.977668E-03   0.745234E-01
   0.997418E-03   0.758283E-01
   0.101757E-02   0.771556E-01
   0.103812E-02   0.785060E-01
   0.105910E-02   0.798797E-01
   0.108049E-02   0.812771E-01
   0.110232E-02   0.826986E-01
   0.112459E-02   0.841447E-01
   0.114730E-02   0.856157E-01
   0.117048E-02   0.871120E-01
   0.119413E-02   0.886340E-01
   0.121825E-02   0.901822E-01
   0.124286E-02   0.917570E-01
   0.126797E-02   0.933588E-01
   0.129358E-02   0.949880E-01
   0.131971E-02   0.966451E-01
   0.134637E-02   0.983306E-01
   0.137357E-02   0.100045E+00
   0.140132E-02   0.101788E+00
   0.142963E-02   0.103561E+00
   0.145851E-02   0.105365E+00
   0.148797E-02   0.107199E+00
   0.151803E-02   0.109064E+00
   0.154870E-02   0.110961E+00
   0.157998E-02   0.112889E+00
   0.161190E-02   0.114851E+00
   0.164446E-02   0.116845E+00
   0.167768E-02   0.118873E+00
   0.171158E-02   0.120935E+00
   0.174615E-02   0.123031E+00
   0.178143E-02   0.125163E+00
   0.181741E-02   0.127330E+00
   0.185413E-02   0.129533E+00
   0.189158E-02   0.131773E+00
   0.192980E-02   0.134050E+00
   0.196878E-02   0.136365E+00
   0.200855E-02   0.138717E+00
   0.204913E-02   0.141109E+00
   0.209052E-02   0.143540E+00
   0.213276E-02   0.146010E+00
   0.217584E-02   0.148521E+00
   0.221979E-02   0.151072E+00
   0.226464E-02   0.153665E+00
   0.231039E-02   0.156300E+00
   0.235706E-02   0.158977E+00
   0.240467E-02   0.161697E+00
   0.245325E-02   0.164460E+00
   0.250281E-02   0.167267E+00
   0.255337E-02   0.170119E+00
   0.260495E-02   0.173015E+00
   0.265758E-02   0.175957E+00
   0.271126E-02   0.178945E+00
   0.276603E-02   0.181979E+00
   0.282191E-02   0.185060E+00
   0.287892E-02   0.188188E+00
   0.293708E-02   0.191364E+00
   0.299641E-02   0.194588E+00
   0.305694E-02   0.197861E+00
   0.311870E-02   0.201182E+00
   0.318170E-02   0.204553E+00
   0.324597E-02   0.207973E+00
   0.331155E-02   0.211444E+00
   0.337844E-02   0.214964E+00
   0.344669E-02   0.218536E+00
   0.351632E-02   0.222158E+00
   0.358735E-02   0.225831E+00
   0.365982E-02   0.229556E+00
   0.373376E-02   0.233332E+00
   0.380918E-02   0.237160E+00
   0.388613E-02   0.241039E+00
   0.396464E-02   0.244971E+00
   0.404473E-02   0.248954E+00
   0.412644E-02   0.252989E+00
   0.420980E-02   0.257075E+00
   0.429484E-02   0.261214E+00
   0.438160E-02   0.265403E+00
   0.447012E-02   0.269644E+00
   0.456042E-02   0.273936E+00
   0.465255E-02   0.278278E+00
   0.474653E-02   0.282671E+00
   0.484242E-02   0.287113E+00
   0.494024E-02   0.291605E+00
   0.504004E-02   0.296144E+00
   0.514186E-02   0.300732E+00
   0.524573E-02   0.305367E+00
   0.535170E-02   0.310048E+00
   0.545981E-02   0.314774E+00
   0.557011E-02   0.319544E+00
   0.568263E-02   0.324357E+00
   0.579743E-02   0.329212E+00
   0.591455E-02   0.334107E+00
   0.603403E-02   0.339041E+00
   0.615592E-02   0.344012E+00
   0.628028E-02   0.349019E+00
   0.640715E-02   0.354060E+00
   0.653658E-02   0.359133E+00
   0.666863E-02   0.364235E+00
   0.680335E-02   0.369365E+00
   0.694078E-02   0.374520E+00
   0.708100E-02   0.379698E+00
   0.722404E-02   0.384897E+00
   0.736998E-02   0.390113E+00
   0.751886E-02   0.395343E+00
   0.767075E-02   0.400585E+00
   0.782571E-02   0.405836E+00
   0.798380E-02   0.411091E+00
   0.814509E-02   0.416349E+00
   0.830963E-02   0.421604E+00
   0.847750E-02   0.426853E+00
   0.864875E-02   0.432093E+00
   0.882347E-02   0.437319E+00
   0.900171E-02   0.442527E+00
   0.918356E-02   0.447713E+00
   0.936908E-02   0.452871E+00
   0.955835E-02   0.457999E+00
   0.975144E-02   0.463090E+00
   0.994843E-02   0.468140E+00
   0.101494E-01   0.473143E+00
   0.103544E-01   0.478095E+00
   0.105636E-01   0.482990E+00
   0.107770E-01   0.487823E+00
   0.109947E-01   0.492588E+00
   0.112168E-01   0.497279E+00
   0.114434E-01   0.501891E+00
   0.116746E-01   0.506418E+00
   0.119104E-01   0.510854E+00
   0.121510E-01   0.515192E+00
   0.123965E-01   0.519427E+00
   0.126469E-01   0.523551E+00
   0.129024E-01   0.527560E+00
   0.131631E-01   0.531446E+00
   0.134290E-01   0.535203E+00
   0.137003E-01   0.538825E+00
   0.139770E-01   0.542304E+00
   0.142594E-01   0.545634E+00
   0.145474E-01   0.548809E+00
   0.148413E-01   0.551821E+00
   0.151411E-01   0.554664E+00
   0.154470E-01   0.557330E+00
   0.157590E-01   0.559814E+00
   0.160774E-01   0.562108E+00
   0.164022E-01   0.564204E+00
   0.167335E-01   0.566097E+00
   0.170716E-01   0.567779E+00
   0.174164E-01   0.569244E+00
   0.177683E-01   0.570484E+00
   0.181272E-01   0.571492E+00
   0.184934E-01   0.572263E+00
   0.188670E-01   0.572789E+00
   0.192481E-01   0.573063E+00
   0.196370E-01   0.573081E+00
   0.200337E-01   0.572834E+00
   0.204384E-01   0.572319E+00
   0.208513E-01   0.571529E+00
   0.212725E-01   0.570458E+00
   0.217022E-01   0.569103E+00
   0.221406E-01   0.567459E+00
   0.225879E-01   0.565521E+00
   0.230442E-01   0.563287E+00
   0.235097E-01   0.560753E+00
   0.239847E-01   0.557918E+00
   0.244692E-01   0.554779E+00
   0.249635E-01   0.551336E+00
   0.254678E-01   0.547587E+00
   0.259823E-01   0.543534E+00
   0.265072E-01   0.539176E+00
   0.270426E-01   0.534515E+00
   0.275889E-01   0.529554E+00
   0.281463E-01   0.524295E+00
   0.287149E-01   0.518741E+00
   0.292949E-01   0.512896E+00
   0.298867E-01   0.506765E+00
   0.304905E-01   0.500352E+00
   0.311064E-01   0.493665E+00
   0.317348E-01   0.486710E+00
   0.323759E-01   0.479495E+00
   0.330299E-01   0.472028E+00
   0.336972E-01   0.464319E+00
   0.343779E-01   0.456380E+00
   0.350724E-01   0.448223E+00
   0.357809E-01   0.439860E+00
   0.365038E-01   0.431308E+00
   0.372412E-01   0.422582E+00
   0.379935E-01   0.413699E+00
   0.387610E-01   0.404679E+00
   0.395440E-01   0.395539E+00
   0.403429E-01   0.386302E+00
   0.411579E-01   0.376985E+00
   0.419893E-01   0.367611E+00
   0.428375E-01   0.358201E+00
   0.437029E-01   0.348774E+00
   0.445858E-01   0.339351E+00
   0.454865E-01   0.329951E+00
   0.464053E-01   0.320593E+00
   0.473428E-01   0.311297E+00
   0.482992E-01   0.302080E+00
   0.492749E-01   0.292959E+00
   0.502703E-01   0.283952E+00
   0.512858E-01   0.275076E+00
   0.523219E-01   0.266346E+00
   0.533789E-01   0.257776E+00
   0.544572E-01   0.249379E+00
   0.555573E-01   0.241165E+00
   0.566796E-01   0.233145E+00
   0.578246E-01   0.225323E+00
   0.589927E-01   0.217703E+00
   0.601845E-01   0.210287E+00
   0.614003E-01   0.203073E+00
   0.626407E-01   0.196057E+00
   0.639061E-01   0.189234E+00
   0.651971E-01   0.182598E+00
   0.665142E-01   0.176139E+00
   0.678578E-01   0.169848E+00
   0.692287E-01   0.163713E+00
   0.706272E-01   0.157718E+00
   0.720539E-01   0.151849E+00
   0.735095E-01   0.146088E+00
   0.749945E-01   0.140418E+00
   0.765095E-01   0.134819E+00
   0.780551E-01   0.129276E+00
   0.796319E-01   0.123772E+00
   0.812406E-01   0.118294E+00
   0.828817E-01   0.112831E+00
   0.845561E-01   0.107373E+00
   0.862642E-01   0.101914E+00
   0.880068E-01   0.964519E-01
   0.897847E-01   0.909885E-01
   0.915985E-01   0.855307E-01
   0.934489E-01   0.800909E-01
   0.953367E-01   0.746866E-01
   0.972626E-01   0.693397E-01
   0.992274E-01   0.640758E-01
   0.101232E+00   0.589231E-01
   0.103277E+00   0.539121E-01
   0.105363E+00   0.490747E-01
   0.107492E+00   0.444427E-01
   0.109663E+00   0.400466E-01
   0.111879E+00   0.359130E-01
   0.114139E+00   0.320639E-01
   0.116445E+00   0.285154E-01
   0.118797E+00   0.252775E-01
   0.121197E+00   0.223538E-01
   0.123645E+00   0.197413E-01
   0.126143E+00   0.174300E-01
   0.128691E+00   0.154042E-01
   0.131291E+00   0.136432E-01
   0.133943E+00   0.121228E-01
   0.136649E+00   0.108165E-01
   0.139409E+00   0.969617E-02
   0.142226E+00   0.873293E-02
   0.145099E+00   0.789833E-02
   0.148030E+00   0.716539E-02
   0.151020E+00   0.650923E-02
   0.154071E+00   0.590761E-02
   0.157184E+00   0.534168E-02
