#    L    TT             EE             TE          
     2   0.127811E+04   0.274832E-01   0.365396E+01
     3   0.122342E+04   0.292277E-01   0.351491E+01
     4   0.117005E+04   0.218349E-01   0.298378E+01
     5   0.112921E+04   0.129420E-01   0.236466E+01
     6   0.110013E+04   0.681247E-02   0.181839E+01
     7   0.108031E+04   0.378048E-02   0.140702E+01
     8   0.106712E+04   0.256752E-02   0.113595E+01
     9   0.105925E+04   0.205437E-02   0.984490E+00
    10   0.105511E+04   0.175294E-02   0.923328E+00
    11   0.105408E+04   0.157591E-02   0.924045E+00
    12   0.105534E+04   0.154322E-02   0.963845E+00
    13   0.105866E+04   0.165575E-02   0.102674E+01
    14   0.106336E+04   0.189523E-02   0.110250E+01
    15   0.106945E+04   0.225003E-02   0.118601E+01
    16   0.107667E+04   0.272219E-02   0.127513E+01
    17   0.108482E+04   0.331468E-02   0.136708E+01
    18   0.109342E+04   0.403065E-02   0.146133E+01
    19   0.110363E+04   0.488183E-02   0.156084E+01
    20   0.111404E+04   0.586282E-02   0.165943E+01
    21   0.112521E+04   0.697156E-02   0.175787E+01
    22   0.113696E+04   0.822248E-02   0.185342E+01
    23   0.114887E+04   0.962033E-02   0.194588E+01
    24   0.116127E+04   0.111739E-01   0.203519E+01
    25   0.117434E+04   0.128868E-01   0.211504E+01
    26   0.118759E+04   0.147695E-01   0.218987E+01
    27   0.120138E+04   0.168400E-01   0.226054E+01
    28   0.121546E+04   0.190966E-01   0.232219E+01
    29   0.122981E+04   0.215497E-01   0.237983E+01
    30   0.124468E+04   0.242117E-01   0.242629E+01
    31   0.125942E+04   0.270815E-01   0.246963E+01
    32   0.127476E+04   0.301842E-01   0.250261E+01
    33   0.129017E+04   0.334970E-01   0.252589E+01
    34   0.130566E+04   0.370575E-01   0.254301E+01
    35   0.132192E+04   0.408555E-01   0.254446E+01
    36   0.133814E+04   0.448996E-01   0.253959E+01
    37   0.135466E+04   0.492127E-01   0.252237E+01
    38   0.137140E+04   0.537868E-01   0.249486E+01
    39   0.138831E+04   0.586241E-01   0.245708E+01
    40   0.140542E+04   0.637319E-01   0.240754E+01
    41   0.142274E+04   0.691175E-01   0.234523E+01
    42   0.144026E+04   0.747884E-01   0.227099E+01
    43   0.145799E+04   0.807517E-01   0.218573E+01
    44   0.147593E+04   0.870122E-01   0.208878E+01
    45   0.149413E+04   0.935723E-01   0.197913E+01
    46   0.151254E+04   0.100432E+00   0.185629E+01
    47   0.153114E+04   0.107595E+00   0.171988E+01
    48   0.154991E+04   0.115059E+00   0.156955E+01
    49   0.156884E+04   0.122820E+00   0.140502E+01
