#           k/h    P           
   0.100000E-03   0.140270E-01
   0.102020E-03   0.143012E-01
   0.104081E-03   0.145808E-01
   0.106184E-03   0.148658E-01
   0.108329E-03   0.151564E-01
   0.110517E-03   0.154527E-01
   0.112750E-03   0.157548E-01
   0.115027E-03   0.160628E-01
   0.117351E-03   0.163768E-01
   0.119722E-03   0.166969E-01
   0.122140E-03   0.170233E-01
   0.124608E-03   0.173561E-01
   0.127125E-03   0.176954E-01
   0.129693E-03   0.180413E-01
   0.132313E-03   0.183940E-01
   0.134986E-03   0.187536E-01
   0.137713E-03   0.191202E-01
   0.140495E-03   0.194939E-01
   0.143333E-03   0.198750E-01
   0.146228E-03   0.202635E-01
   0.149182E-03   0.206596E-01
   0.152196E-03   0.210635E-01
   0.155271E-03   0.214752E-01
   0.158407E-03   0.218950E-01
   0.161607E-03   0.223230E-01
   0.164872E-03   0.227593E-01
   0.168203E-03   0.232042E-01
   0.171601E-03   0.236577E-01
   0.175067E-03   0.241202E-01
   0.178604E-03   0.245916E-01
   0.182212E-03   0.250723E-01
   0.185893E-03   0.255623E-01
   0.189648E-03   0.260620E-01
   0.193479E-03   0.265714E-01
   0.197388E-03   0.270907E-01
   0.201375E-03   0.276202E-01
   0.205443E-03   0.281600E-01
   0.209594E-03   0.287104E-01
   0.213828E-03   0.292715E-01
   0.218147E-03   0.298436E-01
   0.222554E-03   0.304269E-01
   0.227050E-03   0.310215E-01
   0.231637E-03   0.316278E-01
   0.236316E-03   0.322459E-01
   0.241090E-03   0.328761E-01
   0.245960E-03   0.335186E-01
   0.250929E-03   0.341736E-01
   0.255998E-03   0.348414E-01
   0.261170E-03   0.355222E-01
   0.266446E-03   0.362164E-01
   0.271828E-03   0.369241E-01
   0.277319E-03   0.376456E-01
   0.282922E-03   0.383811E-01
   0.288637E-03   0.391311E-01
   0.294468E-03   0.398956E-01
   0.300417E-03   0.406751E-01
   0.306485E-03   0.414698E-01
   0.312677E-03   0.422800E-01
   0.318993E-03   0.431061E-01
   0.325437E-03   0.439482E-01
   0.332012E-03   0.448067E-01
   0.338719E-03   0.456820E-01
   0.345561E-03   0.465744E-01
   0.352542E-03   0.474842E-01
   0.359664E-03   0.484117E-01
   0.366930E-03   0.493572E-01
   0.374342E-03   0.503213E-01
   0.381904E-03   0.513041E-01
   0.389619E-03   0.523060E-01
   0.397490E-03   0.533275E-01
   0.405520E-03   0.543689E-01
   0.413712E-03   0.554306E-01
   0.422070E-03   0.565129E-01
   0.430596E-03   0.576163E-01
   0.439295E-03   0.587413E-01
   0.448169E-03   0.598881E-01
   0.457222E-03   0.610572E-01
   0.466459E-03   0.622491E-01
   0.475882E-03   0.634642E-01
   0.485496E-03   0.647029E-01
   0.495303E-03   0.659657E-01
   0.505309E-03   0.672530E-01
   0.515517E-03   0.685654E-01
   0.525931E-03   0.699033E-01
   0.536556E-03   0.712672E-01
   0.547395E-03   0.726576E-01
   0.558453E-03   0.740750E-01
   0.569734E-03   0.755199E-01
   0.581244E-03   0.769929E-01
   0.592986E-03   0.784944E-01
   0.604965E-03   0.800251E-01
   0.617186E-03   0.815855E-01
   0.629654E-03   0.831761E-01
   0.642374E-03   0.847975E-01
   0.655350E-03   0.864504E-01
   0.668589E-03   0.881353E-01
   0.682096E-03   0.898528E-01
   0.695875E-03   0.916035E-01
   0.709933E-03   0.933881E-01
   0.724274E-03   0.952071E-01
   0.738906E-03   0.970614E-01
   0.753832E-03   0.989514E-01
   0.769061E-03   0.100878E+00
   0.784597E-03   0.102842E+00
   0.800447E-03   0.104843E+00
   0.816617E-03   0.106883E+00
   0.833114E-03   0.108963E+00
   0.849944E-03   0.111082E+00
   0.867114E-03   0.113243E+00
   0.884631E-03   0.115445E+00
   0.902501E-03   0.117689E+00
   0.920733E-03   0.119976E+00
   0.939333E-03   0.122307E+00
   0.958309E-03   0.124683E+00
   0.977668E-03   0.127104E+00
   0.997418E-03   0.129572E+00
   0.101757E-02   0.132087E+00
   0.103812E-02   0.134650E+00
   0.105910E-02   0.137262E+00
   0.108049E-02   0.139923E+00
   0.110232E-02   0.142636E+00
   0.112459E-02   0.145400E+00
   0.114730E-02   0.148216E+00
   0.117048E-02   0.151086E+00
   0.119413E-02   0.154011E+00
   0.121825E-02   0.156990E+00
   0.124286E-02   0.160027E+00
   0.126797E-02   0.163120E+00
   0.129358E-02   0.166272E+00
   0.131971E-02   0.169483E+00
   0.134637E-02   0.172755E+00
   0.137357E-02   0.176088E+00
   0.140132E-02   0.179483E+00
   0.142963E-02   0.182943E+00
   0.145851E-02   0.186466E+00
   0.148797E-02   0.190056E+00
   0.151803E-02   0.193712E+00
   0.154870E-02   0.197436E+00
   0.157998E-02   0.201229E+00
   0.161190E-02   0.205092E+00
   0.164446E-02   0.209026E+00
   0.167768E-02   0.213033E+00
   0.171158E-02   0.217113E+00
   0.174615E-02   0.221268E+00
   0.178143E-02   0.225499E+00
   0.181741E-02   0.229807E+00
   0.185413E-02   0.234193E+00
   0.189158E-02   0.238658E+00
   0.192980E-02   0.243204E+00
   0.196878E-02   0.247831E+00
   0.200855E-02   0.252541E+00
   0.204913E-02   0.257336E+00
   0.209052E-02   0.262215E+00
   0.213276E-02   0.267181E+00
   0.217584E-02   0.272234E+00
   0.221979E-02   0.277376E+00
   0.226464E-02   0.282608E+00
   0.231039E-02   0.287930E+00
   0.235706E-02   0.293345E+00
   0.240467E-02   0.298853E+00
   0.245325E-02   0.304455E+00
   0.250281E-02   0.310152E+00
   0.255337E-02   0.315945E+00
   0.260495E-02   0.321836E+00
   0.265758E-02   0.327825E+00
   0.271126E-02   0.333914E+00
   0.276603E-02   0.340102E+00
   0.282191E-02   0.346391E+00
   0.287892E-02   0.352783E+00
   0.293708E-02   0.359277E+00
   0.299641E-02   0.365874E+00
   0.305694E-02   0.372576E+00
   0.311870E-02   0.379382E+00
   0.318170E-02   0.386294E+00
   0.324597E-02   0.393311E+00
   0.331155E-02   0.400435E+00
   0.337844E-02   0.407665E+00
   0.344669E-02   0.415002E+00
   0.351632E-02   0.422446E+00
   0.358735E-02   0.429998E+00
   0.365982E-02   0.437656E+00
   0.373376E-02   0.445422E+00
   0.380918E-02   0.453294E+00
   0.388613E-02   0.461273E+00
   0.396464E-02   0.469358E+00
   0.404473E-02   0.477549E+00
   0.412644E-02   0.485845E+00
   0.420980E-02   0.494244E+00
   0.429484E-02   0.502746E+00
   0.438160E-02   0.511351E+00
   0.447012E-02   0.520055E+00
   0.456042E-02   0.528859E+00
   0.465255E-02   0.537760E+00
   0.474653E-02   0.546756E+00
   0.484242E-02   0.555845E+00
   0.494024E-02   0.565026E+00
   0.504004E-02   0.574295E+00
   0.514186E-02   0.583650E+00
   0.524573E-02   0.593088E+00
   0.535170E-02   0.602606E+00
   0.545981E-02   0.612200E+00
   0.557011E-02   0.621868E+00
   0.568263E-02   0.631604E+00
   0.579743E-02   0.641405E+00
   0.591455E-02   0.651266E+00
   0.603403E-02   0.661183E+00
   0.615592E-02   0.671151E+00
   0.628028E-02   0.681164E+00
   0.640715E-02   0.691217E+00
   0.653658E-02   0.701305E+00
   0.666863E-02   0.711421E+00
   0.680335E-02   0.721559E+00
   0.694078E-02   0.731712E+00
   0.708100E-02   0.741873E+00
   0.722404E-02   0.752036E+00
   0.736998E-02   0.762192E+00
   0.751886E-02   0.772334E+00
   0.767075E-02   0.782454E+00
   0.782571E-02   0.792543E+00
   0.798380E-02   0.802593E+00
   0.814509E-02   0.812595E+00
   0.830963E-02   0.822540E+00
   0.847750E-02   0.832418E+00
   0.864875E-02   0.842220E+00
   0.882347E-02   0.851936E+00
   0.900171E-02   0.861556E+00
   0.918356E-02   0.871070E+00
   0.936908E-02   0.880466E+00
   0.955835E-02   0.889736E+00
   0.975144E-02   0.898866E+00
   0.994843E-02   0.907847E+00
   0.101494E-01   0.916667E+00
   0.103544E-01   0.925314E+00
   0.105636E-01   0.933778E+00
   0.107770E-01   0.942045E+00
   0.109947E-01   0.950106E+00
   0.112168E-01   0.957946E+00
   0.114434E-01   0.965555E+00
   0.116746E-01   0.972920E+00
   0.119104E-01   0.980028E+00
   0.121510E-01   0.986867E+00
   0.123965E-01   0.993425E+00
   0.126469E-01   0.999689E+00
   0.129024E-01   0.100565E+01
   0.131631E-01   0.101128E+01
   0.134290E-01   0.101659E+01
   0.137003E-01   0.102154E+01
   0.139770E-01   0.102615E+01
   0.142594E-01   0.103037E+01
   0.145474E-01   0.103422E+01
   0.148413E-01   0.103767E+01
   0.151411E-01   0.104071E+01
   0.154470E-01   0.104333E+01
   0.157590E-01   0.104551E+01
   0.160774E-01   0.104725E+01
   0.164022E-01   0.104854E+01
   0.167335E-01   0.104936E+01
   0.170716E-01   0.104970E+01
   0.174164E-01   0.104956E+01
   0.177683E-01   0.104892E+01
   0.181272E-01   0.104778E+01
   0.184934E-01   0.104613E+01
   0.188670E-01   0.104397E+01
   0.192481E-01   0.104129E+01
   0.196370E-01   0.103808E+01
   0.200337E-01   0.103435E+01
   0.204384E-01   0.103010E+01
   0.208513E-01   0.102531E+01
   0.212725E-01   0.102000E+01
   0.217022E-01   0.101417E+01
   0.221406E-01   0.100782E+01
   0.225879E-01   0.100095E+01
   0.230442E-01   0.993565E+00
   0.235097E-01   0.985680E+00
   0.239847E-01   0.977298E+00
   0.244692E-01   0.968430E+00
   0.249635E-01   0.959084E+00
   0.254678E-01   0.949274E+00
   0.259823E-01   0.939013E+00
   0.265072E-01   0.928317E+00
   0.270426E-01   0.917202E+00
   0.275889E-01   0.905690E+00
   0.281463E-01   0.893801E+00
   0.287149E-01   0.881562E+00
   0.292949E-01   0.868998E+00
   0.298867E-01   0.856140E+00
   0.304905E-01   0.843021E+00
   0.311064E-01   0.829675E+00
   0.317348E-01   0.816136E+00
   0.323759E-01   0.802445E+00
   0.330299E-01   0.788639E+00
   0.336972E-01   0.774757E+00
   0.343779E-01   0.760838E+00
   0.350724E-01   0.746922E+00
   0.357809E-01   0.733045E+00
   0.365038E-01   0.719246E+00
   0.372412E-01   0.705561E+00
   0.379935E-01   0.692026E+00
   0.387610E-01   0.678676E+00
   0.395440E-01   0.665545E+00
   0.403429E-01   0.652666E+00
   0.411579E-01   0.640072E+00
   0.419893E-01   0.627795E+00
   0.428375E-01   0.615863E+00
   0.437029E-01   0.604303E+00
   0.445858E-01   0.593134E+00
   0.454865E-01   0.582376E+00
   0.464053E-01   0.572040E+00
   0.473428E-01   0.562131E+00
   0.482992E-01   0.552649E+00
   0.492749E-01   0.543590E+00
   0.502703E-01   0.534943E+00
   0.512858E-01   0.526691E+00
   0.523219E-01   0.518816E+00
   0.533789E-01   0.511292E+00
   0.544572E-01   0.504087E+00
   0.555573E-01   0.497166E+00
   0.566796E-01   0.490484E+00
   0.578246E-01   0.483990E+00
   0.589927E-01   0.477627E+00
   0.601845E-01   0.471333E+00
   0.614003E-01   0.465043E+00
   0.626407E-01   0.458692E+00
   0.639061E-01   0.452214E+00
   0.651971E-01   0.445545E+00
   0.665142E-01   0.438623E+00
   0.678578E-01   0.431391E+00
   0.692287E-01   0.423796E+00
   0.706272E-01   0.415792E+00
   0.720539E-01   0.407345E+00
   0.735095E-01   0.398435E+00
   0.749945E-01   0.389058E+00
   0.765095E-01   0.379229E+00
   0.780551E-01   0.368975E+00
   0.796319E-01   0.358344E+00
   0.812406E-01   0.347395E+00
   0.828817E-01   0.336206E+00
   0.845561E-01   0.324868E+00
   0.862642E-01   0.313485E+00
   0.880068E-01   0.302169E+00
   0.897847E-01   0.291036E+00
   0.915985E-01   0.280198E+00
   0.934489E-01   0.269762E+00
   0.953367E-01   0.259829E+00
   0.972626E-01   0.250486E+00
   0.992274E-01   0.241803E+00
   0.101232E+00   0.233831E+00
   0.103277E+00   0.226594E+00
   0.105363E+00   0.220094E+00
   0.107492E+00   0.214306E+00
   0.109663E+00   0.209183E+00
   0.111879E+00   0.204649E+00
   0.114139E+00   0.200604E+00
   0.116445E+00   0.196926E+00
   0.118797E+00   0.193482E+00
   0.121197E+00   0.190126E+00
   0.123645E+00   0.186713E+00
   0.126143E+00   0.183102E+00
   0.128691E+00   0.179174E+00
   0.131291E+00   0.174838E+00
   0.133943E+00   0.170041E+00
   0.136649E+00   0.164772E+00
   0.139409E+00   0.159069E+00
   0.142226E+00   0.153015E+00
   0.145099E+00   0.146731E+00
   0.148030E+00   0.140367E+00
   0.151020E+00   0.134087E+00
   0.154071E+00   0.128054E+00
   0.157184E+00   0.122412E+00
   0.160359E+00   0.117277E+00
   0.163598E+00   0.112723E+00
   0.166903E+00   0.108776E+00
   0.170275E+00   0.105411E+00
   0.173715E+00   0.102557E+00
   0.177224E+00   0.100098E+00
   0.180804E+00   0.978877E-01
   0.184457E+00   0.957655E-01
   0.188183E+00   0.935727E-01
   0.191985E+00   0.911778E-01
   0.195863E+00   0.884918E-01
   0.199820E+00   0.854826E-01
   0.203856E+00   0.821840E-01
   0.207974E+00   0.786887E-01
   0.212176E+00   0.751269E-01
   0.216462E+00   0.716455E-01
   0.220835E+00   0.683842E-01
   0.225296E+00   0.654482E-01
   0.229847E+00   0.628902E-01
   0.234490E+00   0.607055E-01
   0.239227E+00   0.588360E-01
   0.244060E+00   0.571780E-01
   0.248990E+00   0.556060E-01
   0.254020E+00   0.540012E-01
   0.259152E+00   0.522739E-01
   0.264387E+00   0.503848E-01
   0.269728E+00   0.483551E-01
   0.275177E+00   0.462540E-01
   0.280736E+00   0.441779E-01
   0.286407E+00   0.422237E-01
   0.292193E+00   0.404587E-01
   0.298096E+00   0.389054E-01
   0.304118E+00   0.375390E-01
   0.310261E+00   0.362955E-01
   0.316529E+00   0.350971E-01
   0.322923E+00   0.338757E-01
   0.329447E+00   0.325958E-01
   0.336102E+00   0.312647E-01
   0.342892E+00   0.299231E-01
   0.349819E+00   0.286280E-01
   0.356885E+00   0.274252E-01
   0.364095E+00   0.263344E-01
   0.371450E+00   0.253416E-01
   0.378954E+00   0.244100E-01
   0.386609E+00   0.234982E-01
   0.394419E+00   0.225794E-01
   0.402387E+00   0.216518E-01
   0.410516E+00   0.207353E-01
   0.418809E+00   0.198573E-01
   0.427269E+00   0.190370E-01
   0.435901E+00   0.182747E-01
   0.444706E+00   0.175555E-01
   0.453690E+00   0.168587E-01
   0.462855E+00   0.161719E-01
   0.472206E+00   0.154958E-01
   0.481745E+00   0.148408E-01
   0.491477E+00   0.142181E-01
   0.501405E+00   0.136303E-01
   0.511534E+00   0.130716E-01
   0.521868E+00   0.125329E-01
   0.532411E+00   0.120087E-01
   0.543166E+00   0.115003E-01
   0.554139E+00   0.110123E-01
   0.565333E+00   0.105473E-01
   0.576753E+00   0.101037E-01
   0.588404E+00   0.967763E-02
   0.600291E+00   0.926638E-02
   0.612418E+00   0.887000E-02
   0.624789E+00   0.848995E-02
   0.637411E+00   0.812661E-02
   0.650288E+00   0.777864E-02
   0.663424E+00   0.744432E-02
   0.676826E+00   0.712294E-02
   0.690499E+00   0.681466E-02
   0.704448E+00   0.651948E-02
   0.718679E+00   0.623667E-02
   0.733197E+00   0.596538E-02
   0.748009E+00   0.570514E-02
   0.763119E+00   0.545575E-02
   0.778536E+00   0.521687E-02
   0.794263E+00   0.498795E-02
   0.810308E+00   0.476854E-02
   0.826677E+00   0.455833E-02
   0.843378E+00   0.435701E-02
   0.860415E+00   0.416419E-02
   0.877797E+00   0.397951E-02
   0.895529E+00   0.380267E-02
   0.913620E+00   0.363337E-02
   0.932076E+00   0.347132E-02
   0.950906E+00   0.331620E-02
   0.970115E+00   0.316773E-02
   0.989713E+00   0.302565E-02
   0.100971E+01   0.288969E-02
   0.103010E+01   0.275960E-02
   0.105091E+01   0.263513E-02
   0.107214E+01   0.251606E-02
   0.109380E+01   0.240217E-02
   0.111590E+01   0.229323E-02
   0.113844E+01   0.218907E-02
   0.116144E+01   0.208947E-02
   0.118490E+01   0.199424E-02
   0.120884E+01   0.190321E-02
   0.123326E+01   0.181619E-02
   0.125817E+01   0.173301E-02
   0.128359E+01   0.165351E-02
