#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.208320E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.137802E+00
   0.212522E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.140581E+00
   0.216810E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.143417E+00
   0.221183E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.146310E+00
   0.225645E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.149262E+00
   0.230197E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.152273E+00
   0.234841E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.155345E+00
   0.239578E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.158478E+00
   0.244411E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.161675E+00
   0.249342E-05   0.114426E+06   0.114426E+06   0.152569E+06   0.152569E+06   0.142528E+06   0.114692E+06   0.114426E+06   0.122434E+06  -0.606895E+00   0.114074E+06   0.114074E+06   0.164937E+00
