#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.251910E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.134200E+00
   0.256989E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.136906E+00
   0.262172E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.139667E+00
   0.267459E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.142484E+00
   0.272852E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.145357E+00
   0.278354E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.148288E+00
   0.283968E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.151279E+00
   0.289694E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.154329E+00
   0.295536E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.157441E+00
   0.301495E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.160616E+00
   0.307575E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.163855E+00
   0.313778E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.167159E+00
   0.320105E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.170530E+00
   0.326560E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.173969E+00
   0.333146E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.177477E+00
   0.339864E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.181056E+00
   0.346717E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.184707E+00
   0.353709E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.188432E+00
   0.360842E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.192232E+00
   0.368118E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.196108E+00
   0.375542E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.200063E+00
   0.383115E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.204097E+00
   0.390840E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.208213E+00
   0.398722E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.212412E+00
   0.406762E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.216695E+00
   0.414965E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.221065E+00
   0.423333E-05   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.225523E+00
